Date,high,low,open,price,volume,adj close,sma10,ema20,ema30,rsi,macd,lag1,lag5,lag10,signal,positions
2016-04-13,216178,214294,214480,216130,300,216130,213417.6,212011.88095143306,210191.32179745866,65.95236955496662,1405.7190485669416,2430.0,3140.0,2095.0,1,0.0
2016-04-14,216250,215310,216250,215600,200,215600,213632.6,212353.60657510613,210540.2687782678,63.93786525330026,1278.9934248938807,-530.0,4199.0,2150.0,1,0.0
2016-04-15,216080,214470,216080,215110,200,215110,213569.6,212616.12023461983,210835.09014741183,62.0507866899434,953.4797653801797,-490.0,3405.0,-630.0,1,0.0
2016-04-18,216650,214350,214350,216650,200,216650,213728.6,213000.29925989415,211210.24562177237,65.49740314450517,728.3007401058567,1540.0,4990.0,1590.0,1,0.0
2016-04-19,219499,216840,216945,219000,300,219000,214394.6,213571.69933038042,211712.81042036772,69.9782312152969,822.9006696195866,2350.0,5300.0,6660.0,1,0.0
2016-04-20,219600,218060,218400,218928,200,218928,214988.4,214081.82320367752,212178.30652227948,69.67965048374552,906.5767963224789,-72.0,2798.0,5938.0,1,0.0
2016-04-21,219495,217045,219120,217460,300,217460,215594.3,214403.5543271368,212519.06094019697,63.71080731923579,1190.7456728631805,-1468.0,1860.0,6059.0,1,0.0
2016-04-22,219500,217400,217400,219038,200,219038,216327.6,214844.93010550473,212939.63765373267,66.98470438715927,1482.6698944952805,1578.0,3928.0,7333.0,1,0.0
2016-04-25,219393,218330,218700,219278,100,219278,217089.4,215267.1272383138,213348.56425671768,67.46545667059651,1822.2727616861812,240.0,2628.0,7618.0,1,0.0
2016-04-26,220680,219540,219600,220340,400,220340,217753.4,215750.257977522,213799.62462725205,69.57657341715421,2003.1420224779868,1062.0,1340.0,6640.0,1,0.0
2016-04-27,221985,219980,220330,221430,200,221430,218283.4,216291.18578918657,214291.90690936483,71.61258413698103,1992.2142108134285,1090.0,2502.0,5300.0,1,0.0
2016-04-28,221030,218661,219870,219120,200,219120,218635.4,216560.5966664069,214603.39678618003,62.123998165914244,2074.803333593096,-2310.0,1660.0,3520.0,1,0.0
2016-04-29,219750,216860,218679,219000,200,219000,219024.4,216792.92079341575,214887.04860642648,61.66689086958493,2231.4792065842485,-120.0,-38.0,3890.0,1,0.0
2016-05-02,220640,218730,219180,220253,200,220253,219384.7,217122.45214642378,215233.2390189151,64.59618714904153,2262.247853576235,1253.0,975.0,3603.0,1,0.0
2016-05-03,219800,216300,219800,217354,300,217354,219220.1,217144.50432295483,215370.06230801737,54.264187417574014,2075.595677045174,-2899.0,-2986.0,-1646.0,1,0.0
2016-05-04,216550,215103,215755,216515,200,216515,218978.8,217084.55153029246,215443.92925588723,51.687501576052746,1894.248469707527,-839.0,-4915.0,-2413.0,1,0.0
